depth,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost
5,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,18.200740814208984
5,0,22,7,0de0ca44a02f67714186593cf347441fc06ba9583ea1d1e72547aaa54367d6e3,485.01937154109277,264.27533670834134
5,0,31,8,d0ebf1cd59d33a5bde630c694262f3a28e927a466f830297917dcb3e7cc8b866,218.22398064310352,182.37038564682007
5,0,44,10,441e4e5a03aded4cddf9029cdf8a2bf1fa6c005cc23732e3e25abede72cb392c,98.22286081810792,126.76090841293335
5,0,59,12,b9fc51bb59ce46b72ca825607c7c36242d1ebb90fec85758ec6dfff452a1d4e4,81.37748948105921,94.32373907168706
5,0,125,28,d59d8b75f072531f93f4452dc801f23cb390bb19eaa791c376c4242c47190bf3,70.40849387949953,80.18582360020706
5,0,497,108,df09ffe72e171aac6e4ef91751f1232f8628e9d09596e2649812b381bab10c08,60.16620697236309,63.659586004498934
5,0,727,144,243016a3124aa7e0be0b1f1ae910121f898be954d6e612db7320a70071b0d230,54.45902699762955,53.82762229670253
5,0,5000,144,243016a3124aa7e0be0b1f1ae910121f898be954d6e612db7320a70071b0d230,54.45902699762955,53.82762229670253
5,1,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,719.62255859375
5,1,7,3,43d64ae149c96f6c1296006fbfec9c8e277026e202af764b47ed201aa275ba09,132.57944203354418,36.358911673227944
5,1,15,5,f4f7b9074b83ef25705d7d7e5df93cfe44053933f7b417e3354305a50876102e,93.82974347360432,23.62636501789093
5,1,88,21,ab1e20675994bbf73302de70ac48f4f3087001fb8b0d6a28d3c75920d67fff5f,72.20417014639824,44.53652265880789
5,1,130,27,880e0535879268874e5cb07205e31fcbe4fadea9f9ef9efb4160e0fa960ed378,65.22949608210475,45.6252946279667
5,1,162,29,d62d86a7bd48391bc309371fb8355007f676ad7ce95b439740335c0177fc19b3,61.66454493105412,45.02958357128604
5,1,317,65,0dc8f9dbded77d2783be500bcbd577f3bd92966905a5b05c78239c108c165153,58.15402252593388,42.23331772203629
5,1,5000,65,0dc8f9dbded77d2783be500bcbd577f3bd92966905a5b05c78239c108c165153,58.15402252593388,42.23331772203629
5,2,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,795.0181274414062
5,2,4,2,060ab1fd0c0ee909d23e55a880afcfd2720291ec855cf3f32bd54d8653c5fda1,523.1715267305573,531.6589050292969
5,2,15,5,57790bf392955fd41355e9641f32a7635d5f4c3a6efa788f5aebf11c4cd0fe25,447.3420612573624,650.8329833984375
5,2,34,10,6ea5075bf699da6e1ba02bf6ffa8d2a0601ad08817fcda9a5aa86155c6e88380,149.92644427133104,215.81602931022644
5,2,46,11,387906f367780e03b25f2d7f1b8d433095c2e1b9ff49ea2a1fa0df71caf99849,91.58405253142118,124.94372485984455
5,2,80,19,2aeb758da07f7d71ba0b88e78073311202d913c2dd719459e655b3ce1001e5df,63.038320215139535,57.685291373416
5,2,110,22,3a64c12a1a601451b550f6189ffc2bdddf7b60d891a719758b504282029948ce,60.887734150576094,43.259606030854314
5,2,1423,313,32fea29205656a63519034c0c5f913c0b60b7f7d1341772206ec1b262466d456,57.749148396402596,81.1074300803506
5,2,3942,797,134382b83fea2018422ca73cd8fcffcfda1de80139556cc44d40f8355ed22b6d,57.08716620886698,83.53658113521121
5,2,5000,797,134382b83fea2018422ca73cd8fcffcfda1de80139556cc44d40f8355ed22b6d,57.08716620886698,83.53658113521121
10,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,18.200740814208984
10,0,22,7,0de0ca44a02f67714186593cf347441fc06ba9583ea1d1e72547aaa54367d6e3,485.01937154109277,264.27533670834134
10,0,31,8,d0ebf1cd59d33a5bde630c694262f3a28e927a466f830297917dcb3e7cc8b866,218.22398064310352,182.37038564682007
10,0,44,10,441e4e5a03aded4cddf9029cdf8a2bf1fa6c005cc23732e3e25abede72cb392c,98.22286081810792,126.76090841293335
10,0,59,12,b9fc51bb59ce46b72ca825607c7c36242d1ebb90fec85758ec6dfff452a1d4e4,81.37748948105921,94.32373907168706
10,0,118,27,b910582886b9bf5c2183dfac31f7abe4dcf3ca407e2e322204e53185e193a351,63.335609291587026,51.45227774425789
10,0,484,124,2bac508a29f892f1655c8e5b66ea2318006b666a6a9516b5258b19cfee9d566c,57.943720332874605,53.39850773800525
10,0,859,191,a84a935663e53f7420f6c2fa45b2403467cfd9a28cfb2e75c781574d318121d1,53.50139564517885,51.3761368700503
10,0,5000,191,a84a935663e53f7420f6c2fa45b2403467cfd9a28cfb2e75c781574d318121d1,53.50139564517885,51.3761368700503
10,1,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,719.62255859375
10,1,7,3,43d64ae149c96f6c1296006fbfec9c8e277026e202af764b47ed201aa275ba09,132.57944203354418,36.358911673227944
10,1,15,5,f4f7b9074b83ef25705d7d7e5df93cfe44053933f7b417e3354305a50876102e,93.82974347360432,23.62636501789093
10,1,67,14,4f144e90a05f3ee602f3cb3f278bd97477a1eb9f0053213082aaf7c0df140a3f,74.05167233323057,55.130779900721144
10,1,102,21,3aad62b918c608437688534e26d9b318ecbeb244cae04b0edd0b5c3add6c28b1,57.86745154789339,67.16976334793227
10,1,217,41,9e9a9c91ea4bdd60ba8bd55974d798d077ba6397d3e8b0d1bed75dc0bce934e0,59.56862103988727,50.08462213197859
10,1,1405,284,d00493e5cdb6024bfd781bc62bd04feb3ed1ce87764c465d95839082c90411ce,60.80029613183191,43.586877232994624
10,1,5000,284,d00493e5cdb6024bfd781bc62bd04feb3ed1ce87764c465d95839082c90411ce,60.80029613183191,43.586877232994624
10,2,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,795.0181274414062
10,2,4,2,060ab1fd0c0ee909d23e55a880afcfd2720291ec855cf3f32bd54d8653c5fda1,523.1715267305573,531.6589050292969
10,2,15,5,57790bf392955fd41355e9641f32a7635d5f4c3a6efa788f5aebf11c4cd0fe25,447.3420612573624,650.8329833984375
10,2,34,10,6ea5075bf699da6e1ba02bf6ffa8d2a0601ad08817fcda9a5aa86155c6e88380,149.92644427133104,215.81602931022644
10,2,49,12,387906f367780e03b25f2d7f1b8d433095c2e1b9ff49ea2a1fa0df71caf99849,91.58405253142118,115.46953102946281
10,2,102,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735
10,2,5000,26,44afde6a34704af612a7e64b011e1362f36dd9f822c0807b62fe23a9cb8f1ae6,51.80223480183631,34.563696920871735
15,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,18.200740814208984
15,0,22,7,0de0ca44a02f67714186593cf347441fc06ba9583ea1d1e72547aaa54367d6e3,485.01937154109277,264.27533670834134
15,0,31,8,d0ebf1cd59d33a5bde630c694262f3a28e927a466f830297917dcb3e7cc8b866,218.22398064310352,182.37038564682007
15,0,44,10,441e4e5a03aded4cddf9029cdf8a2bf1fa6c005cc23732e3e25abede72cb392c,98.22286081810792,126.76090841293335
15,0,59,12,b9fc51bb59ce46b72ca825607c7c36242d1ebb90fec85758ec6dfff452a1d4e4,81.37748948105921,94.32373907168706
15,0,118,27,b910582886b9bf5c2183dfac31f7abe4dcf3ca407e2e322204e53185e193a351,63.335609291587026,51.45227774425789
15,0,516,123,ad6cb636310ff8431c8e3ab78ed76f0a5f944f8bb68da39988084128c7f10339,60.12217205135773,54.2129261072089
