depth,smac_seed,proposal_trial,model_training_rows,fit_serial,configuration_fingerprint,expected_improvement,predicted_full_training_par10,prediction_variance,prediction_standard_deviation,actual_full_training_par10,signed_error,absolute_error,standardized_error,average_actual_tree_depth
5,0,3,2,0,3b66a40c01031616e6192664d07a5d2f1ee26689ced6c8b0abd559051fb37c05,1.090511378582061,82.95517541683338,7.472058634900834,2.7335066553606255,80.79681925582885,-2.1583561610045336,2.1583561610045336,-0.7895924294794835,0.48
5,0,5,2,0,3d1430dfa0b29d8f774760f9cf93251ae02893d1623cf85a53a80da05126c562,1.090511378582061,82.95517541683338,7.472058634900834,2.7335066553606255,105.12153301811219,22.166357601278804,22.166357601278804,8.109128820962919,0.48
5,0,7,2,0,08d63fabc1ab71731dc9d4417641ad25cbc263d80942fb311a689e1cae40fcf8,1.090511378582061,82.95517541683338,7.472058634900834,2.7335066553606255,104.39297006607056,21.437794649237176,21.437794649237176,7.842598300317266,0.48
5,0,9,2,0,11c2d268a22864b9b7698bacdde3f8f367ec6aa8b52d27fc2bd88d317773c20c,1.090511378582061,82.95517541683338,7.472058634900834,2.7335066553606255,104.87138712882995,21.916211711996567,21.916211711996567,8.017617834958301,0.48
5,0,11,2,0,1c5f266ef831c03278bb5ccf9e0cd683650810ed846479ecab86c5892ae777f0,1.090511378582061,82.95517541683338,7.472058634900834,2.7335066553606255,80.4868258228302,-2.468349594003186,2.468349594003186,-0.9029974699942854,0.48
5,0,18,2,0,b66b554dce1952458f969a2d221a59918ca65e81c082fa03873a753556495289,1.090511378582061,82.95517541683338,7.472058634900834,2.7335066553606255,81.57145996665955,-1.3837154501738382,1.3837154501738382,-0.5062052610921073,0.48
5,0,20,2,0,5ab405451036ef8dfb0a4759f5cba3487b67a48681782fb634c22aac2fb611d2,1.090511378582061,82.95517541683338,7.472058634900834,2.7335066553606255,104.23079085731506,21.275615440481673,21.275615440481673,7.783268205606336,0.48
5,0,22,2,0,0312598235dc91749c3e441993b8f9a26014d9bd30aa17e6165bfb1c30e4712c,1.090511378582061,82.95517541683338,7.472058634900834,2.7335066553606255,34.86720773601532,-48.08796768081807,48.08796768081807,-17.59204338738803,0.48
5,0,32,31,1,0ff3115f913523bfa42c56254db59e9fcbcb93adbf8f4d49751cbccab0befe30,5.867005689435598,43.86424657113977,579.7410577230038,24.07781256100736,75.79932287025451,31.93507629911474,31.93507629911474,1.3263279717872616,5.0
5,0,34,31,1,433118ec266b7150c23987966b267e4c155e6780825a38e2968a84bc50ea24d5,5.74770715029131,44.78189735696436,606.57448565674,24.628732928365192,71.63985676574707,26.857959408782712,26.857959408782712,1.0905132426788426,5.0
5,0,36,31,1,7dcd6f65fb12847a396466390c2e6a2a2c0d4d840ffa4c16ec87db1522de9c8d,5.732127637347624,43.62977458825874,551.8621266248823,23.49174592542841,104.19908767032624,60.569313082067495,60.569313082067495,2.5783231810158833,5.0
5,0,38,31,1,d21c5bc39ef7b782e27ce8514cb02e938313f655b227f9cff8ab389186eb3fbb,5.6475909443563275,43.45124336027098,533.3359605757088,23.094067648980957,103.30426405143737,59.85302069116639,59.85302069116639,2.5917054371236956,5.0
5,0,40,31,1,0c9f4c32ca4e04f0d9999b8ef751d465d3bbeb1f0db9c906894494b29660f35f,5.629038507365292,42.294200168876266,480.4787302227415,21.919825050003055,104.37396253204346,62.0797623631672,62.0797623631672,2.832128551279589,5.0
