mode,smac_seed,finished_trials,configurations,walltime_seconds,target_seconds,get_x_best_seconds,get_x_best_calls,xbest_prediction_calls,xbest_prediction_inputs,model_train_seconds
fixed_batched,0,3000,2026,13325.935737497872,19.361863613128662,92.32541247480549,254,254,257302,194.35062257293612
fixed_batched,1,3000,2035,10076.533419528045,15.209208488464355,82.85256604314782,255,255,259335,201.4086501246784
