method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Fixed depth 20,fixed_depth_20,fixed depth,0,31,8,d0ebf1cd59d33a5bde630c694262f3a28e927a466f830297917dcb3e7cc8b866,218.22398064310352,182.37038564682007,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,44,10,441e4e5a03aded4cddf9029cdf8a2bf1fa6c005cc23732e3e25abede72cb392c,98.22286081810792,126.76090841293336,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,59,12,b9fc51bb59ce46b72ca825607c7c36242d1ebb90fec85758ec6dfff452a1d4e4,81.37748948105921,94.32373907168706,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,118,27,b910582886b9bf5c2183dfac31f7abe4dcf3ca407e2e322204e53185e193a351,63.33560929158703,51.45227774425789,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,516,123,ad6cb636310ff8431c8e3ab78ed76f0a5f944f8bb68da39988084128c7f10339,60.12217205135773,54.2129261072089,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,840,161,194fbb6a3b469a9c7d41a089428f47096b5c0a06c814370c0b67f7fc484a1af5,58.873367296345535,60.2515126432969,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,1756,352,e79153c0ceb063d902c0bf2107c504c1c073d62ce806c63fbe485983351c8a63,57.08829130881156,58.02569858734073,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,2542,487,c7c8df7d079778917aa131e6de45b679208fc8a8c84996b921a1d512bc30b2a7,54.58859939792504,55.77533586306433,True,5000
Fixed depth 20,fixed_depth_20,fixed depth,0,5000,487,c7c8df7d079778917aa131e6de45b679208fc8a8c84996b921a1d512bc30b2a7,54.58859939792504,55.77533586306433,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,18.200740814208984,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,22,7,0de0ca44a02f67714186593cf347441fc06ba9583ea1d1e72547aaa54367d6e3,485.0193715410928,264.27533670834134,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,31,8,d0ebf1cd59d33a5bde630c694262f3a28e927a466f830297917dcb3e7cc8b866,218.22398064310352,182.37038564682007,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,44,10,441e4e5a03aded4cddf9029cdf8a2bf1fa6c005cc23732e3e25abede72cb392c,98.22286081810792,126.76090841293336,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,59,12,b9fc51bb59ce46b72ca825607c7c36242d1ebb90fec85758ec6dfff452a1d4e4,81.37748948105921,94.32373907168706,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,118,27,b910582886b9bf5c2183dfac31f7abe4dcf3ca407e2e322204e53185e193a351,63.33560929158703,51.45227774425789,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,497,105,03e54c1d8a3fe83902fd2a58ca3b87e692784afc22b4b73b566b6c1062c9afe7,55.316466684670495,43.357098496882685,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,5000,105,03e54c1d8a3fe83902fd2a58ca3b87e692784afc22b4b73b566b6c1062c9afe7,55.316466684670495,43.357098496882685,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,1,1,ddcd24659e693b2cd6599d452a2a88b8d215210c09d1ed2a0e123b0733ca855e,492.10455601265033,18.200740814208984,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,22,7,0de0ca44a02f67714186593cf347441fc06ba9583ea1d1e72547aaa54367d6e3,485.0193715410928,264.27533670834134,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,31,8,d0ebf1cd59d33a5bde630c694262f3a28e927a466f830297917dcb3e7cc8b866,218.22398064310352,182.37038564682007,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,44,10,441e4e5a03aded4cddf9029cdf8a2bf1fa6c005cc23732e3e25abede72cb392c,98.22286081810792,126.76090841293336,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,59,12,b9fc51bb59ce46b72ca825607c7c36242d1ebb90fec85758ec6dfff452a1d4e4,81.37748948105921,94.32373907168706,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,125,28,d59d8b75f072531f93f4452dc801f23cb390bb19eaa791c376c4242c47190bf3,70.40849387949953,80.18582360020706,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,497,108,df09ffe72e171aac6e4ef91751f1232f8628e9d09596e2649812b381bab10c08,60.16620697236309,63.65958600449893,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,727,144,243016a3124aa7e0be0b1f1ae910121f898be954d6e612db7320a70071b0d230,54.45902699762955,53.82762229670253,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,5000,144,243016a3124aa7e0be0b1f1ae910121f898be954d6e612db7320a70071b0d230,54.45902699762955,53.82762229670253,True,5000
