method,method_key,family,smac_seed,trial,config_id,configuration_fingerprint,full_training_par10,smac_incumbent_subset_cost,run_complete,observed_endpoint_trial
Fixed depth 30,fixed_depth_30,fixed depth,0,979,198,0ca4bb8c9c2217592de5d63a8e1359dc14f17dec5d8746a97d7dd9c40334b3a6,25.461509326088034,13.838849662972445,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,2483,517,a1163ca1c6cd40d584406a060c7f4ef903d5b45a7f3625fc01bb14ca9ec968dc,23.22957308873657,27.9794177012428,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,4622,992,b40c998f7dc88db492c026c9e1de7322298b5e933a244472e8a840381224ba8a,16.041059255407554,15.992968462155982,True,5000
Fixed depth 30,fixed_depth_30,fixed depth,0,5000,992,b40c998f7dc88db492c026c9e1de7322298b5e933a244472e8a840381224ba8a,16.041059255407554,15.992968462155982,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,1,1,b6eb40fb815149f4e6d252f93c7f1839b991c5bd0509407e0bf505b4cc1c5793,619.2101965492576,0.2505379915237427,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,11,4,8bb4d40ae5c48e9723e3f9739ca292c19a6ae5258ba4344161b9019b0cad2740,84.52940810149659,8.823108518496156,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,17,5,8bc73c07546f13cca3bc39c30667f30aae9d4e117de10a756604d653427b9c44,73.32771790064564,2.122026813030243,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,154,47,9b3455b2bed02a2e240bb29b1026323764c0f9ac9b33515d94af7fddc599c568,98.21575889095648,45.59376390864875,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,203,48,81df5f7e0c86fd5b80ca09326ffb75de6e03da3d80a5fb64a4c780e2aad3a10a,50.79127742862714,28.25088902407636,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,315,56,6715233cd0d0b8c22fc14baea9dd0f61750406cc40149ed513f47a6b35c44009,46.76539408638766,17.115661602201207,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,857,167,e8f2762609d32026aea0d1d5ccaad2d049ec47b48b9c6a13280b5991f1af644c,29.631351365361454,22.71740067366533,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,1041,173,ab387997cc32957410dc1c04c21043342b860955eb555417b872497654f9aa4a,25.60185351920476,17.732602524705705,True,5000
Fixed depth 5,fixed_depth_5,fixed depth,0,5000,173,ab387997cc32957410dc1c04c21043342b860955eb555417b872497654f9aa4a,25.60185351920476,17.732602524705705,True,5000
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,1,1,b6eb40fb815149f4e6d252f93c7f1839b991c5bd0509407e0bf505b4cc1c5793,619.2101965492576,0.25066301226615906,False,3414
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,4,2,28cc0b5739e321fbb169ab4f5972b558876370fe6645b9d6ae4e904c1e4af0b1,111.31214465224761,0.07864299602806568,False,3414
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,26,8,cdcc21db2ef75c8a47137346b52834fda90998f8eae5e90785c894a427c2b576,118.94160502083784,36.33201917167753,False,3414
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,187,44,180a690e5282e652d07820a2f0c72187b86059422f3282949b9a9b6876e3b075,79.62152734904527,25.641923957335,False,3414
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,239,47,d968fab87e40fcebc1ccfaa785f8f548d500d024dbdddd4927e34ddbd7dde49d,59.20080089489044,22.185332334580572,False,3414
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,291,49,31dce52fdac43794e1e4d3a2f2bed7325a92e4fe18859dee3a84d87333d8ebb4,96.934160527042,16.57151873637827,False,3414
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,1321,245,38559f15a9e3f2299a5842682d253b81cf4065089560dfc1231a5f986bfca0ee,62.40323280471508,60.489166695791845,False,3414
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,1580,250,9319d654ba6f1e597abc747c11b8cb3146afee58a60594625cdb36b33a02b8ff,20.10765321515039,18.814372689396144,False,3414
Oracle depth schedule,oracle_incumbent_depth,adaptive policy,0,3414,250,9319d654ba6f1e597abc747c11b8cb3146afee58a60594625cdb36b33a02b8ff,20.10765321515039,18.814372689396144,False,3414
Saturation k=100,saturation_k100,adaptive policy,0,1,1,b6eb40fb815149f4e6d252f93c7f1839b991c5bd0509407e0bf505b4cc1c5793,619.2101965492576,0.25066301226615906,False,3005
Saturation k=100,saturation_k100,adaptive policy,0,4,2,28cc0b5739e321fbb169ab4f5972b558876370fe6645b9d6ae4e904c1e4af0b1,111.31214465224761,0.07864299602806568,False,3005
Saturation k=100,saturation_k100,adaptive policy,0,26,8,cdcc21db2ef75c8a47137346b52834fda90998f8eae5e90785c894a427c2b576,118.94160502083784,36.33201917167753,False,3005
